slug,name,status,founded_year,hq,website,sectors,one_liner,total_raised_m,latest_valuation_m,latest_round,latest_round_date,business_model,revenue_signals,key_customers,employee_count,team_china_profile,confidence,last_updated
01-ai,01.AI,active,2023,"Beijing, China",https://www.01.ai/,Artificial Intelligence; Large Language Models; Enterprise AI,,300.0,1000.0,,,,,,,,Medium — funding details beyond headline numbers are sparse; post-pivot financials are not publicly disclosed.,2026-03-20
11x,11x,active,2022,"San Francisco, CA (originally London, UK)",11x.ai,AI; Sales Automation; Digital Workers,,,350.0,,,,,,48,,medium,2026-03-20
1x-technologies,1X Technologies,active,2014,"Palo Alto, California, USA",https://www.1x.tech,Humanoid Robotics; Embodied AI,,,,,,,,,,,medium,2026-03-20
7ai,7AI,active,2024,"Boston, MA",https://7ai.com,AI; Cybersecurity; Agentic Security,,166.0,700.0,,,,,,,,medium,2026-03-20
aaru,Aaru,active,2024,"New York, NY",aaru.com,AI; Synthetic Research; Market Research,,,,,,,,,,,medium,2026-03-20
abnormal-security,Abnormal AI,active,2018,"San Francisco, CA",https://abnormal.ai,cybersecurity; email security; behavioral AI,"AI-native email and cloud security platform that uses behavioral AI to stop social engineering attacks, founded by former Twitter/TellApart ML leaders.",546.0,5100.0,,,"Subscription-based SaaS, sold via enterprise sales motion. Pricing is per-user, per-year (reported starting at ~$35/user/year as of 2021; likely higher for current plans). API-based integration with Microsoft 365 and Google Workspace -- deploys in minutes without MX record changes. Land-and-expand strategy: starts with inbound email security, upsells to account takeover protection, security posture management, and multi-app coverage (Slack, Zoom, Workday, ServiceNow).","$200M+ ARR as of August 2024, representing 100% year-over-year growth. Doubled from ~$100M ARR in mid-2023. Company has stated ambition to reach $1B ARR. Exact 2025-2026 ARR figures not publicly disclosed, but trajectory suggests $300-400M+ ARR range (uncertain).","15% of the Fortune 500; 5%+ of the Fortune 1000; 2,000+ enterprise customers (as of mid-2024); Named customers include Maersk, Xerox, Mattel; Universities including Brown University and Adelphi University",,No known Chinese-origin founders. The founding team is American/Indian-American with strong ML and ad-tech backgrounds from Twitter/TellApart. No significant public China connections.,medium-high,2026-03-20
abridge,Abridge,active,2018,"Pittsburgh, PA (with San Francisco presence)",,AI Medical Documentation; Ambient Clinical Intelligence,,750.0,5300.0,,,,,,,,medium,2026-03-20
adept-ai,Adept AI,acquired,2022,"San Francisco, CA",https://www.adept.ai,AI Agents; Enterprise Automation,,415.0,,,,,,,,,high,2026-03-20
agility-robotics,Agility Robotics,active,2015,"Salem, Oregon, USA",https://www.agilityrobotics.com,humanoid-robotics; warehouse-automation; logistics,,,2100.0,Series C,,,,,332,,medium,2026-03-20
ai21-labs,AI21 Labs,acquired,2017,"Tel Aviv, Israel",https://www.ai21.com,Enterprise AI; Foundation Models,,,1400.0,,,,,,230,,medium-high,2026-03-20
aleph-alpha,Aleph Alpha,active,,,,,,,,,,,,,,,low,2026-03-20
all-hands-ai,All Hands AI (OpenHands),active,2024,"Somerville, MA",https://openhands.dev,AI-Powered Developer Tools,,23.8,,,,,,,15,,high,2026-03-20
