company_slug,company_name,founder_name,role,background,origin,status
01-ai,01 Ai,Kai-Fu Lee,CEO,"BS CS Columbia (summa cum laude), PhD CS Carnegie Mellon (pioneered Sphinx speech recognition). Faculty at CMU, then Apple (PlainTalk), SGI (VP), Microsoft Research China (founding director), Google China (president). Founded Sinovation Ventures (2009). TIME 100 Most Influential in AI (2023). Author of 'AI Superpowers'.",Taiwanese-American,
01-ai,01 Ai,Anita Huang,Co-Founder,MS Marketing/Communications Northwestern. Former Director Greater China Marketing at Google (2006-2007). Former Country Marketing Manager Yahoo (2000-2006). VP Marketing & Business Development Tudou.com. Also worked at Sinovation Ventures.,Chinese,
01-ai,01 Ai,Ken Qi,Co-Founder,Previously co-founded Aibee (computer vision AI company). Technical leadership background.,Chinese,
10x-science,10X Science,Unknown,Co-Founder & CEO,Computational biology and AI background.,,
11x,11X,Hasan Sukkar,Founder & Chairman (stepped down as CEO May 2025),Started first online marketplace at 14 in Syria. Immigrated to UK at 17. Masters in Engineering from University of Exeter. Former McKinsey consultant.,Syrian (inferred from name and public bio),
1mind,1Mind,Amanda Kahlow,Founder & CEO,3x entrepreneur. Founder & former CEO of 6sense (unicorn valued over $1B). Started first company at 21.,American (inferred from name and public bio),
1x-technologies,1X Technologies,Bernt Oivind Bornich,Founder & CEO,"Norwegian roboticist. Studied at University of Oslo. Described as a ""science nerd, roboticist, and jack-of-all-trades."" Has led the company from its 2014 founding through rebranding and pivot to consumer humanoids.",Norwegian,
1x-technologies,1X Technologies,Phuong Nguyen,"Co-founder, former CTO",,Vietnamese,
1x-technologies,1X Technologies,Jorgen Sundell,Co-founder (Machinist),,Norwegian,
1x-technologies,1X Technologies,Pal Loken,Co-founder (Board Member),,Norwegian,
21st,21St,Serafim Korablev,Co-Founder & CEO,Full-stack developer. Built multiple developer tools and open-source projects.,Russian,
21st,21St,Dmitry Slepov,Co-Founder & CTO,Software engineer with experience in frontend infrastructure and design systems.,Russian,
4paradigm,4Paradigm,Dai Wenyuan,CEO,Former Chief Architect of Baidu Phoenix Nest. MIT Innovators Under 35.,Chinese,
5mins-ai,5Mins Ai,Saurav Chopra,Co-Founder & CEO,Previously co-founder and CEO of Perkbox. Barclays Scale-Up Entrepreneur of the Year. London Business School Accomplished Entrepreneur Award.,Indian (inferred from name and public bio),
7ai,7Ai,Lior Div,CEO,"IDF Unit 8200 veteran. Co-founded Cybereason (raised $700M+, valued at $3.5B+). Serial cybersecurity entrepreneur.",Israeli,
7ai,7Ai,Yonatan Striem-Amit,CTO,IDF Unit 8200 veteran. Co-founded Cybereason as CTO. Deep expertise in cybersecurity platforms and endpoint detection.,Israeli,
a0-dev,A0 Dev,Ayomide Omolewa,Co-Founder,"Former roles at Nvidia, Paramount, Google, and Lockheed Martin. 7+ years as indie app developer (up to $14K MRR side income).",Nigerian-American,
a0-dev,A0 Dev,Seth Setse,Co-Founder,CMU Class of 2023. Former roles at Microsoft and Teleparty. 7+ years as indie app developer alongside Omolewa.,American,
a0-dev,A0 Dev,Bradley Lafond,Co-Founder,Growth strategist. Joined Omolewa and Setse to handle go-to-market.,American,
aaru,Aaru,Cameron Fink,Co-founder & CEO,Dartmouth College dropout (~age 18-19 at founding). Experience at Kleiner Perkins and Research Science Institute (RSI). ~20 years old.,American,
aaru,Aaru,Ned Koh,Co-founder & President,Harvard dropout (~age 18-19 at founding). Prior research at Northwestern University. Co-founded earlier startups. ~20 years old.,American,
aaru,Aaru,John Kessler,Co-founder & CTO,~15 years old at time of founding (2024). Teen tech prodigy. Leads technical architecture of Aaru's synthetic audience simulation models.,American,
abnormal-security,Abnormal Security,Evan Reiser,CEO & Co-Founder,"BS in Computer Systems Engineering from Rensselaer Polytechnic Institute. Started career at Eastman Kodak (2003) doing ML R&D for intelligence applications, then S&P Capital IQ as a software engineer (2006). Serial founder: founded Bloomspot (online-to-offline advertising, sold to JP Morgan ~2010), then AdStack (ML-powered ad tech, acquired by TellApart 2013). TellApart was acquired by Twitter in 2015. At Twitter (2015-2018), led product management and ML teams for the advertising business.",American,
abnormal-security,Abnormal Security,Sanjay Jeyakumar,CTO & Co-Founder,"BS in EECS from UC Berkeley. MS in Computer Science from Stanford University. Worked at Oracle (2003-2005), PARC intern (2002), then Google (2005-2009) on next-gen Search and Android launch. Founding engineer and architect at TellApart (2009-2015), building personalization systems for large retailers. At Twitter (2015-2018), served as systems architect for distributed data processing and ML systems powering the ads business.",Indian-American,
above-security,Above Security,undisclosed,CEO,Israeli cybersecurity veteran.,Israeli,
abridge,Abridge,"Shiv Rao (Shivdev Rao, MD)",CEO & Co-Founder,BA History Carnegie Mellon (2001). Practicing cardiologist at UPMC. Led UPMC provider-facing investment portfolio (2013-2019). TIME 100 Most Influential in AI (2024). Founded Abridge to solve physician 'pajama time' documentation burden.,Indian-American,
abridge,Abridge,Sandeep Konam,Co-Founder & CTO,MS Robotics Carnegie Mellon (2017). Oversees technical vision and product development at Abridge.,Indian-American,
abridge,Abridge,Florian Metze,Co-Founder (departed 2019),Former Associate Research Professor at CMU Language Technologies Institute. Now Research Scientist Manager at Meta.,German,
act-security,Act Security,Jonathan Langer,CEO,Co-founded Medigate (acq by Claroty).,Israeli,
act-security,Act Security,Itay Kirshenbaum,CTO,Co-founded Medigate.,Israeli,
actively-ai,Actively Ai,Mihir Garimella,Co-Founder & CEO,"Stanford AI researcher, focused on active learning and reasoning.",Indian-American (inferred from name),
actively-ai,Actively Ai,Anshul Gupta,Co-Founder,Stanford AI researcher.,Indian,
ada-support,Ada Support,Mike Murchison,CEO,Serial entrepreneur; built Ada from Toronto into a global enterprise AI platform,Canadian,
ada-support,Ada Support,David Hariri,Co-founder,Co-founded Ada; product and technology leader,Canadian,
adaption,Adaption,Sara Hooker,Co-Founder & CEO,"Former VP of Research at Cohere. Previously part of Google DeepMind. Leading AI researcher known for work on model efficiency, interpretability, and the ""lottery ticket hypothesis."" Recognized as one of the most influential researchers in efficient AI.",American,
adaption,Adaption,Sudip Roy,Co-Founder,"Former head of inference computing at Cohere. Led the infrastructure that makes large language models efficient to deploy in production. Deep expertise in model serving, latency optimization, and compute economics.",Indian-American (inferred),
adaptive-computer,Adaptive Computer,Dennis Xu,Co-Founder & CEO,"Repeat tech startup founder. Previously co-founded Mem, the AI note-taking app that was one of OpenAI's earliest venture investments. Self-described non-programmer, which informs the company's mission to make software creation accessible to everyone.",Chinese-American,
adaptive-computer,Adaptive Computer,Mike Soylu,Co-Founder & President,Co-founded Adaptive Computer alongside Dennis Xu. Handles business operations and partnerships.,American (Turkish descent -- inferred from name),
adaptive-ml,Adaptive Ml,Julien Launay,Co-Founder & CEO,"Previously at Hugging Face, contributed to Falcon and BLOOM open-source LLM projects.",French (inferred from name and Paris base),
adaptive-ml,Adaptive Ml,Baptiste Pannier,Co-Founder,"Previously at Hugging Face, worked on Falcon and BLOOM models.",French (inferred from name),
adaptive-ml,Adaptive Ml,Daniel Hesslow,Co-Founder,"Previously at Hugging Face, research and engineering on Falcon and BLOOM.",Swedish (inferred from name),
adaptive-security,Adaptive Security,Brian Long,Co-Founder & CEO,Serial entrepreneur. Previously co-founded and grew Attentive to $500M in annual revenue. Recognized the threat of AI-enabled impersonation early and pivoted to build AI defenses.,American,
adaptive-security,Adaptive Security,Andrew Jones,Co-Founder,"Serial entrepreneur. Previously co-founded Attentive with Brian Long, scaling it to $500M ARR. Brings deep enterprise sales and product experience.",American,
adept-ai,Adept Ai,David Luan,Co-Founder & former CEO (now at Amazon),Led Google's large model program. Former head of engineering at OpenAI.,Chinese-American,
adept-ai,Adept Ai,Ashish Vaswani,Co-Founder & former Chief Scientist (left for Essential AI),Co-author of the Transformer paper ('Attention Is All You Need'). Former Google Brain researcher.,Indian,
adept-ai,Adept Ai,Niki Parmar,Co-Founder & former CTO (left for Essential AI),Co-author of the Transformer paper. Former Google Brain researcher.,Indian,
