slug,name,status,founded_year,hq,website,sector,one_liner,total_raised_m,latest_valuation_m,employees,revenue_signals,business_model,key_customers,team_china_profile,confidence,last_updated
01-ai,01.AI,"Active (pivoted from model pretraining to enterprise AI solutions, March 2025)",2023,"Beijing, China",https://www.01.ai/,Artificial Intelligence / Large Language Models / Enterprise AI,"01.AI is one of China's ""Six AI Tigers"" — the elite group of AI startups (alongside Zhipu, MiniMax, Moonshot, Stepfun, and Baichuan) that emerged in 2023 to lead China's generative AI wave",300.0,1000.0,,,,,,Medium — funding details beyond headline numbers are sparse; post-pivot financials are not publicly disclosed.,2026-03-20
11x,11x,Private,2022,"San Francisco, CA (originally London, UK)",https://www.11x.ai,AI / Sales Automation / Digital Workers,"AI digital worker platform that replaces traditional SDR headcount with autonomous agents (Alice for outbound sales, Mike for phone calls) to automate go-to-market workflows at a fraction of the cost",76.0,350.0,48 (2024),,,,,medium,2026-03-20
1mind,1mind,active,2024,"San Francisco, CA",https://1mind.com,AI Sales / Human Replacement,AI that replaces human roles in sales workflows. Founded by 6sense founder Amanda Kahlow.,40.0,,,,,,,medium,2026-03-21
1x-technologies,1X Technologies,Private,2014,"Palo Alto, California, USA",https://www.1x.tech,Humanoid Robotics / Embodied AI,1X Technologies (formerly Halodi Robotics) is a Norwegian-American humanoid robotics company building general-purpose androids for home and enterprise use,123.5,10000.0,965,,,,,high,2026-03-20
5mins-ai,5Mins AI,active,2021,"London, UK",https://www.5mins.ai,AI EdTech / Corporate Learning,AI microlearning platform with 15k+ bite-sized workplace training lessons.,5.7,,,,,,,medium,2026-03-21
7ai,7AI,"Active, Private",2024,"Boston, MA",https://7ai.com,AI / Cybersecurity / Agentic Security,"> Autonomous AI-powered cybersecurity agents that automate security investigations, founded by the co-founders of Cybereason",166.0,700.0,Unknown (growing rapidly),,,,,high,2026-03-24
a0-dev,a0.dev,Active,2024,"San Francisco, CA",https://a0.dev,AI Developer Tools / Mobile App Development,AI-powered platform that generates full React Native mobile apps from prompts in seconds,0.5,,,,,,,Medium,2026-03-23
aaru,Aaru,active,Marc,"New York, NY",https://aaru.com,AI / Synthetic Research / Market Research,"Aaru is an AI-powered synthetic research company that replaces traditional market research methods (surveys, focus groups, polling) with thousands of AI agents that simulate human behavior",50.0,,,,,,,high,2026-03-20
abnormal-security,Abnormal AI,active,2018,"San Francisco, CA",https://abnormal.ai,cybersecurity; email security; behavioral AI; enterprise SaaS,"AI-native email and cloud security platform that uses behavioral AI to stop social engineering attacks, founded by former Twitter/TellApart ML leaders.",546.0,5100.0,,"$200M+ ARR as of August 2024, representing 100% year-over-year growth. Doubled from ~$100M ARR in mid-2023. Company has stated ambition to reach $1B ARR. Exact 2025-2026 ARR figures not publicly disclosed, but trajectory suggests $300-400M+ ARR range (uncertain).","Subscription-based SaaS, sold via enterprise sales motion. Pricing is per-user, per-year (reported starting at ~$35/user/year as of 2021; likely higher for current plans). API-based integration with Microsoft 365 and Google Workspace -- deploys in minutes without MX record changes. Land-and-expand strategy: starts with inbound email security, upsells to account takeover protection, security posture management, and multi-app coverage (Slack, Zoom, Workday, ServiceNow).","15% of the Fortune 500; 5%+ of the Fortune 1000; 2,000+ enterprise customers (as of mid-2024); Named customers include Maersk, Xerox, Mattel; Universities including Brown University and Adelphi University",No known Chinese-origin founders. The founding team is American/Indian-American with strong ML and ad-tech backgrounds from Twitter/TellApart. No significant public China connections.,medium-high,2026-03-20
abridge,Abridge,Private,2018,"Pittsburgh, PA (with San Francisco presence)",https://abridge.com,AI Medical Documentation / Ambient Clinical Intelligence,"AI-powered ambient clinical documentation platform that listens to doctor-patient conversations and automatically generates structured medical notes, now expanding into revenue cycle intelligence",750.0,5300.0,,,,,,high,2026-03-24
act-security,Act Security,active,2025,Israel,https://act.security,AI Cybersecurity,Next-gen cybersecurity platform. Founded by Medigate team (sold to Claroty for ~M).,20.0,,,,,,,medium,2026-03-21
actively-ai,Actively AI,active,2024,"San Francisco, CA",https://actively.ai,AI Sales Intelligence,AI sales superintelligence for B2B — next-gen beyond first-generation AI SDR tools.,22.5,,,,,,,medium,2026-03-21
ada-support,Ada,active,2016,"Toronto, Canada",https://www.ada.cx,customer-service-ai; conversational-ai; enterprise-ai,Canadian AI-powered customer service automation platform replacing traditional chatbots with intelligent AI agents.,200.0,,,,,,,medium,2026-03-23
adaption,Adaption Labs,active,2025,"San Francisco, CA",https://adaption.ai,adaptive AI; inference optimization; enterprise AI; AI infrastructure; efficient AI,"Ex-Cohere founders building AI models that adapt in real time to tasks without fine-tuning, challenging the 'bigger model = better' paradigm with efficient, adaptive inference.",50.0,1000.0,,"Pre-revenue. Company announced seed funding in February 2026 and is in early product development. The $1B valuation reflects team quality, research thesis, and market potential rather than current revenue.","AI infrastructure/platform. Adaption is building systems that adapt to tasks at inference time using gradient-free learning, adapters, and dynamic decoding -- eliminating the need for constant fine-tuning, prompt rewrites, or runaway compute bills. The business model likely involves selling adaptive AI infrastructure or models to enterprises seeking better economics for production AI deployments.",,,medium,2026-03-24
adaptive-computer,Adaptive Computer,active,2025,"San Francisco, CA",https://emergent.sh,no-code app development; AI app builder; vibe coding; consumer software; personal computing,"AI-native no-code platform enabling anyone to build custom apps using natural language, reinventing personal computing for non-programmers.",7.0,,,Very early stage. Platform was in alpha at time of seed announcement (April 2025). No disclosed revenue or significant user base. The $7M seed is for product development and initial market traction.,"Consumer and SMB SaaS. Adaptive Computer (now operating as Emergent) provides a browser-based platform where non-programmers create full-featured applications by describing what they want in natural language. The platform generates working apps with database management, user authentication, and AI features. Revenue likely comes from subscription tiers for individuals and businesses, with usage-based components for AI compute.",,,medium,2026-03-24
adaptive-ml,Adaptive ML,active,2023,"Paris, France",https://www.adaptive-ml.com,AI Infrastructure / LLM Fine-tuning,Custom LLM fine-tuning using RLHF/RLAIF. Built by the Hugging Face Falcon models team.,20.0,,,,,,,medium,2026-03-21
adaptive-security,Adaptive Security,active,2024,"New York, NY",https://www.adaptivesecurity.com,AI cybersecurity; deepfake defense; social engineering prevention; security awareness training; enterprise security,"AI-powered cybersecurity platform defending enterprises against deepfakes, AI-generated vishing, smishing, and social engineering attacks.",146.5,,,500+ enterprise customers within 12 months of launch. Three funding rounds in a single year totaling $136M+ suggests very strong growth metrics. The founders' track record of building Attentive to $500M ARR adds credibility to revenue scaling.,"Enterprise SaaS. Adaptive provides AI-powered security awareness and defense tools that simulate and detect deepfake attacks (voice, video, email). Enterprises subscribe to the platform for employee training, real-time threat detection, and social engineering defense. The company reports a world-class NPS score of 94.",,,high,2026-03-24
adept-ai,Adept AI,Effectively gutted via Amazon acqui-hire (June 2024); nominally independent with ~20 employees,2022,"San Francisco, CA",https://www.adept.ai,AI Agents / Enterprise Automation,"Adept AI was founded in 2022 to build AI agents that could interact with any software on behalf of users — an ""agentic AI"" company before the term became mainstream",415.0,1000.0,,,,,,high,2026-03-24
adopt-ai,Adopt AI,active,2024,"San Jose, CA",https://www.adopt.ai,AI Agents / Enterprise Software,Codeless AI agent platform that transforms existing applications into agentic experiences through natural language. CEO previously founded Slintel (acquired by 6sense).,6.0,,,,,,,medium,2026-03-23
aegisai,AegisAI,active,2024,"New York, NY",https://www.aegisai.ai,AI Cybersecurity / Email Security,Agentic AI for email security. Accel-backed.,5.0,,,,,,,medium,2026-03-21
aeon-health,Aeon Health,active,2024,"Zurich, Switzerland",https://www.aeon.health,AI Healthcare / Preventive Diagnostics,"AI preventive health combining whole-body MRI, blood biomarkers, and genetic testing in 60-minute check-up detecting 500+ diseases.",9.0,,,,,,,medium,2026-03-21
afterquery,AfterQuery,Active,2024,"San Francisco, CA",https://afterquery.com,AI Data Analytics,AI-powered data analytics platform for business intelligence and decision-making,0.5,,,,,,,Low,2026-03-23
agentin-ai,Agentin AI,Active,2024,"San Francisco, CA",https://agentin.ai,AI Agents / Enterprise Automation,AI agents with reinforcement learning that learn and adapt from failures to automate enterprise software processes,0.5,,,,,,,Medium,2026-03-23
agentio,Agentio,active,2023,"New York, NY",https://www.agentio.com,creator economy; AI advertising; programmatic advertising; influencer marketing; adtech,"AI-native platform for creator-led advertising, automating the matching of brands with YouTube and social media creators for sponsored content at scale.",56.0,340.0,,5x year-over-year growth. 100+ enterprise brands spending tens of millions through the platform in 2025. $340M valuation at just 2 years old suggests strong and rapidly growing revenue. Specific ARR not publicly disclosed.,Two-sided marketplace with take rate. Agentio matches brands with creators for sponsored content opportunities using AI. Brands can programmatically buy creator advertising (similar to Google Ads but for influencer content). Revenue comes from a percentage of ad spend flowing through the platform. The model benefits from network effects -- more brands attract more creators and vice versa.,,,high,2026-03-24
agentmail,AgentMail,active,2025,"San Francisco, CA",https://www.agentmail.to,AI Agents / Email Infrastructure,Email infrastructure API for AI agents — gives agents their own inboxes with full email capabilities. YC S25.,6.0,,,,,,,medium,2026-03-21
agibot,AgiBot (Zhiyuan Robotics),active,2023,"Shanghai, China",https://www.agibot.com,Humanoid Robotics / Embodied AI,Full-stack humanoid robots for industrial use. Produced 5168 robots in 2025 — #1 globally. Planning HK IPO.,84.0,,1000+ (estimated),,,,,high,2026-03-20
