company_slug,stage,date,amount_m,valuation_m,lead_investors,source,notes
1x-technologies,Series A2,2023-03,23.5,210.0,OpenAI Startup Fund,https://www.1x.tech/discover/1x-rasies-23-5m-in-series-a2-funding-led-by-open-ai,"First major round after the 2022 rebrand from Halodi Robotics to 1X Technologies. OpenAI's backing was a strong signal and drew significant attention.
"
1x-technologies,Series B,2024-01-11,100.0,800.0,EQT Ventures,https://www.1x.tech/discover/1x-secures-100m-in-series-b-funding,"Brought total funding to ~$126M. Capital earmarked for enterprise customers and bringing NEO bipedal android to market.
"
1x-technologies,Seed / Early,~2021-05,86.0,,Valinor,https://valinor.no/en/investments/halodi-robotics/,"Raised as Halodi Robotics. Exact seed timing uncertain; May 2021 is the earliest publicly documented round of this size.
"
1x-technologies,Series C (UNCONFIRMED),~2025-09 (reported target),,10000.0,Unknown,https://techstartups.com/2025/09/24/norways-1x-raising-1b-at-10b-valuation-to-bring-humanoid-robot-neo-into-homes/,"UNCERTAINTY: The Information and other outlets reported in Sep 2025 that 1X was in talks to raise up to $1B. As of March 2026, I could not independently confirm this round closed or identify the final investors. Do not treat this as confirmed.
"
abnormal-security,Seed,2018,,,Greylock Partners,https://news.greylock.com/our-investment-in-abnormal-security-5b58650c690c,Company incubated at Greylock's San Francisco offices. Exact seed amount not publicly disclosed.
abnormal-security,Series A,2019-11,24.0,,Greylock Partners,https://abnormal.ai/about/news/launching-24m-series-a-funding-from-greylock,Public launch of the company coincided with Series A announcement.
abnormal-security,Series B,2020-11,50.0,,Menlo Ventures,https://abnormal.ai/about/news/50m-series-b-funding,Greylock participated. Total funding reached ~$75M.
abnormal-security,Series C,2022-05,210.0,4000.0,Insight Partners,https://abnormal.ai/about/news/series-c-funding-4b-valuation,Greylock and Menlo Ventures also participated. Tripled ARR in preceding year.
abnormal-security,Series D,2024-08,250.0,5100.0,Wellington Management,https://abnormal.ai/about/news/series-d-5b-valuation,"Greylock, Menlo Ventures, Insight Partners, and CrowdStrike Falcon Fund participated. Announced alongside crossing $200M ARR."
agility-robotics,Seed / Early Grants,2015–2017,,,ONAMI (Oregon Nanoscience and Microtechnologies Institute),https://onami.us/onami-success-stories/agility-robotics,
agility-robotics,Series A,2018,8.0,,Playground Global,https://onami.us/onami-success-stories/agility-robotics-secures-8m-series-a-funding,
agility-robotics,Series B,2022-04,150.0,,DCVC; Playground Global,https://www.agilityrobotics.com/content/agility-robotics-raises-150m-series-b-led-by-dcvc-and-playground-global,"Amazon's investment through its Industrial Innovation Fund signaled strategic alignment for warehouse deployment of Digit.
"
agility-robotics,Series C,2025-03,400.0,2100.0,WP Global Partners,https://www.geekwire.com/2025/agility-robotics-reportedly-raising-400m-for-humanoid-warehouse-robots/,"Funding intended to scale operations through the 10,000-unit production milestone at RoboFab.
"
agility-robotics,Undisclosed Round,2025-09,,,[not disclosed],https://tracxn.com/d/companies/agilityrobotics/__zWyvO8soXb6xhR16FWzvRmbHXslWot5BI_JRbmtdaF0/funding-and-investors,
anduril,Seed,2017-08,17.5,,Founders Fund,https://tracxn.com/d/companies/anduril/__qqOI0HKR47lFXorj9FAQlDfmJOqfOpDNWiW3JcO--ss/funding-and-investors,
anduril,Series A,2018-06,41.0,250.0,Founders Fund,https://www.crunchbase.com/funding_round/anduril-industries-series-a--32661f15,
anduril,Series B,2019-09,120.0,1000.0,Andreessen Horowitz,https://www.cnbc.com/2019/09/11/anduril-valued-at-1-billion-in-round-including-andreessen-horowitz.html,
anduril,Series C,2020-07,200.0,1900.0,Andreessen Horowitz,https://www.crunchbase.com/funding_round/anduril-industries-series-c--bc53d7d0,
anduril,Series D,2021-06,450.0,4600.0,Elad Gil,https://research.contrary.com/company/anduril,
anduril,Series E,2022-12,1480.0,8480.0,Valor Equity Partners,https://www.anduril.com/news/anduril-raises-usd1-48-billion-in-series-e-funding,
anduril,Series F,2024-08,1500.0,14000.0,Sands Capital; Founders Fund,https://techcrunch.com/2024/08/07/anduril-raises-1-5b-to-hyper-scale-defense-production/,
anduril,Series G,2025-06,2500.0,30500.0,Founders Fund,https://techcrunch.com/2025/06/05/anduril-raises-2-5b-at-30-5b-valuation-led-by-founders-fund/,
