slug,name,status,founded_year,hq,website,sector,one_liner,total_raised_m,latest_valuation_m,business_model,revenue_signals,team_china_profile,num_founders,num_rounds,key_customers,confidence,last_updated
1x-technologies,1X Technologies,active,2014,"Palo Alto, California, USA",https://www.1x.tech,Humanoid Robotics / Embodied AI,,,,,,,4,4,,medium,2026-03-20
abnormal-security,Abnormal Security,active,2018,"San Francisco, CA",https://abnormal.ai,cybersecurity; email security; behavioral AI,"AI-native email and cloud security platform that uses behavioral AI to stop social engineering attacks, founded by former Twitter/TellApart ML leaders.",546.0,5100.0,"Subscription-based SaaS, sold via enterprise sales motion. Pricing is per-user, per-year (reported starting at ~$35/user/year as of 2021; likely higher for current plans). API-based integration with Microsoft 365 and Google Workspace -- deploys in minutes without MX record changes. Land-and-expand strategy: starts with inbound email security, upsells to account takeover protection, security posture management, and multi-app coverage (Slack, Zoom, Workday, ServiceNow).","$200M+ ARR as of August 2024, representing 100% year-over-year growth. Doubled from ~$100M ARR in mid-2023. Company has stated ambition to reach $1B ARR. Exact 2025-2026 ARR figures not publicly disclosed, but trajectory suggests $300-400M+ ARR range (uncertain).",No known Chinese-origin founders. The founding team is American/Indian-American with strong ML and ad-tech backgrounds from Twitter/TellApart. No significant public China connections.,2,5,"15% of the Fortune 500; 5%+ of the Fortune 1000; 2,000+ enterprise customers (as of mid-2024); Named customers include Maersk, Xerox, Mattel; Universities including Brown University and Adelphi University",medium-high,2026-03-20
abridge,Abridge,active,2018,"Pittsburgh, PA (with San Francisco presence)",,AI Medical Documentation / Ambient Clinical Intelligence,,750.0,,,,,3,0,,medium,2026-03-20
adept-ai,Adept AI,active,2022,"San Francisco, CA",https://www.adept.ai,AI Agents / Enterprise Automation,,415.0,,,,,0,0,,high,2026-03-20
agility-robotics,Agility Robotics,active,2015,"Salem, Oregon, USA",Humanoid Robotics / Warehouse Automation / Logistics,,,,,,,,3,5,,medium,2026-03-20
ai21-labs,Ai21 Labs,active,2017,"Tel Aviv, Israel",https://www.ai21.com,Enterprise AI / Foundation Models,,,1400.0,,,,3,0,,medium-high,2026-03-20
anduril,Anduril,active,2017,"Costa Mesa, California",https://www.anduril.com,defense-govtech; robotics; autonomous-vehicles,AI-powered autonomous defense systems and software platform for national security.,7000.0,60000.0,"Product-first defense contractor. Anduril self-funds R&D to build products before seeking government contracts, then sells as commercial items at firm fixed prices -- the opposite of the traditional cost-plus model. This gives them 40-45% gross margins vs. 8-10% for legacy defense primes. Revenue comes from hardware sales (drones, autonomous vehicles, sensors), software licensing (Lattice OS), and long-term government contracts.","~$1B revenue in 2024 (doubled YoY). Sacra estimates ~$2.1B in 2025. Major contracts include: $22B IVAS program (via Microsoft partnership, Feb 2024), $642M Marine Corps counter-drone contract, $99.6M Army C2 prototype (July 2025). Revenue growth trajectory is approximately 100%+ YoY. [Confidence: medium -- revenue figures are estimates from third-party sources, not official disclosures.]","No China connection. All five co-founders are American. Three come from Palantir (Schimpf, Stephens, Grimm overlap with national security community); Luckey and Chen come from Oculus/VR. Company works exclusively on US and allied defense.",5,9,"U.S. Department of Defense (Army, Navy, Marine Corps, SOCOM, etc.); U.S. Customs and Border Protection (CBP); U.S. Intelligence Community; UK Ministry of Defence; Royal Australian Navy; Allied Five Eyes nations",high,2026-03-20
anthropic,Anthropic,active,2021,"San Francisco, CA",https://www.anthropic.com,AI safety; foundation models; enterprise AI,"AI safety company building Claude, the leading enterprise LLM, founded by ex-OpenAI researchers.",67300.0,380000.0,"API-first, pay-per-token pricing (enterprise and developer). ~85% of revenue from business customers via API. Also offers Claude.ai consumer/pro subscriptions and Claude Code (developer tool). AWS Bedrock is a key distribution channel. Charges premium pricing relative to competitors.",$19B annualized revenue as of March 2026. $9B ARR at end of 2025. Claude Code alone at $2.5B annualized revenue (Feb 2026). 500+ customers spending >$1M/year. Targeting $20-26B ARR for 2026 and $70B by 2028.,No known Chinese-origin founders. The team is predominantly American/Canadian with strong academic physics and ML research backgrounds. No significant public China connections.,7,11,"8 of the Fortune 10; Deloitte (470,000+ employees deployed); European Parliament; Novo Nordisk; SK Telecom; Commonwealth Bank of Australia; 300,000+ business customers total (as of Oct 2025)",high,2026-03-20
anysphere-cursor,Anysphere,active,2022,"San Francisco, CA",https://cursor.com,AI-Powered Developer Tools,,,,,,,0,0,,medium,2026-03-20
applied-intuition,Applied Intuition,active,2017,"Mountain View, California",https://www.appliedintuition.com,autonomous-vehicles; simulation; defense-govtech,"AI-powered simulation, validation, and deployment platform for autonomous vehicles and defense autonomy systems.",1200.0,15000.0,"B2B SaaS. Applied Intuition sells simulation, validation, and deployment software to automotive OEMs and defense organizations developing autonomous systems. Revenue comes from annual software licenses priced by number of engineering seats, scale of simulation workloads, and specific modules deployed. Gross margins are reported at approximately 85%. The company has expanded from pure simulation into full-stack autonomy software (SDS for Automotive) and defense autonomy (Axion/Acuity), broadening its addressable market from tooling into platform/stack sales.","~$415M ARR in 2024 (100% YoY growth from ~$207M in 2023). Reported ~$800M in revenue in 2025, roughly doubling again. Company reportedly forecasted ARR approaching $1B by end of 2025. [Confidence: medium -- revenue figures are from Sacra estimates and press reports, not official SEC filings.]",No known China connection. Both co-founders have American automotive industry roots (Detroit/Michigan). Younis is Pakistani American; Ludwig is American. Company works with US DoD and allied defense. No Chinese investors identified in any funding round.,2,7,"18 of the top 20 global automakers; U.S. Department of Defense (multiple programs across land, air, sea, space); Major trucking, construction, mining, and agriculture companies; Porsche (strategic investor via Series E); Sierra Nevada Corporation (SNC) -- defense autonomy partnership (Dec 2025)",high,2026-03-20
apptronik,Apptronik,active,2016,"Austin, Texas",https://apptronik.com,Humanoid Robotics / AI,,935.0,,,,,0,0,,medium,2026-03-20
augment-code,Augment Code,active,2022,"Palo Alto, CA",https://www.augmentcode.com,AI-Powered Developer Tools,,252.0,,,,,0,0,,high,2026-03-20
baseten,Baseten,active,2019,"San Francisco, CA",https://www.baseten.co,AI Infrastructure / Cloud,,585.0,5000.0,,,,0,0,,medium,2026-03-20
brightwave,Brightwave,active,2023,"Boulder, CO",https://www.brightwave.io,AI for Finance / Investment Research,,21.0,,,Undisclosed (reported 4x revenue growth in four months post-seed; no public ARR figure),,2,0,,medium,2026-03-20
cerebras,Cerebras Systems,active,2015,"Sunnyvale, California, USA",https://www.cerebras.ai,AI Hardware / Semiconductors,,4300.0,23000.0,,,,0,0,,medium,2026-03-20
